plant type,location name,year,emission type,emission amount (tonne)
PV Recycling Plant,"Glen Lyn, Virginia",1,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",2,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",3,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",4,CO2,0.34
PV Recycling Plant,"Glen Lyn, Virginia",5,CO2,0.54
PV Recycling Plant,"Glen Lyn, Virginia",6,CO2,0.84
PV Recycling Plant,"Glen Lyn, Virginia",7,CO2,1.27
PV Recycling Plant,"Glen Lyn, Virginia",8,CO2,2501.21
PV Recycling Plant,"Glen Lyn, Virginia",9,CO2,1409.33
PV Recycling Plant,"Glen Lyn, Virginia",10,CO2,1955.27
PV Recycling Plant,"Glen Lyn, Virginia",11,CO2,1955.27
PV Recycling Plant,"Glen Lyn, Virginia",12,CO2,1955.27
PV Recycling Plant,"Glen Lyn, Virginia",13,CO2,4659.13
PV Recycling Plant,"Glen Lyn, Virginia",14,CO2,556.33
PV Recycling Plant,"Glen Lyn, Virginia",15,CO2,650.36
PV Recycling Plant,"Glen Lyn, Virginia",16,CO2,2872.63
PV Recycling Plant,"Glen Lyn, Virginia",17,CO2,1037.92
PV Recycling Plant,"Glen Lyn, Virginia",18,CO2,1955.27
PV Recycling Plant,"Glen Lyn, Virginia",19,CO2,1955.27
PV Recycling Plant,"Glen Lyn, Virginia",20,CO2,3791.67
PV Recycling Plant,"Glen Lyn, Virginia",21,CO2,118.88
PV Recycling Plant,"Glen Lyn, Virginia",22,CO2,4405.57
PV Recycling Plant,"Glen Lyn, Virginia",23,CO2,401.22
PV Recycling Plant,"Glen Lyn, Virginia",24,CO2,1059.02
PV Recycling Plant,"Glen Lyn, Virginia",25,CO2,2710.49
PV Recycling Plant,"Glen Lyn, Virginia",26,CO2,1200.05
PV Recycling Plant,"H B Robinson, South Carolina",1,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",2,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",3,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",4,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",5,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",6,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",7,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",8,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",9,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",10,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",11,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",12,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",13,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",14,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",15,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",16,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",17,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",18,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",19,CO2,3910.55
PV Recycling Plant,"H B Robinson, South Carolina",20,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",21,CO2,3297.94
PV Recycling Plant,"H B Robinson, South Carolina",22,CO2,612.61
PV Recycling Plant,"H B Robinson, South Carolina",23,CO2,1955.27
PV Recycling Plant,"H B Robinson, South Carolina",24,CO2,1955.27
PV Recycling Plant,"H B Robinson, South Carolina",25,CO2,1955.27
PV Recycling Plant,"H B Robinson, South Carolina",26,CO2,1955.27
PV Recycling Plant,"San Juan, New Mexico",1,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",2,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",3,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",4,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",5,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",6,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",7,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",8,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",9,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",10,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",11,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",12,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",13,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",14,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",15,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",16,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",17,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",18,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",19,CO2,6548.42
PV Recycling Plant,"San Juan, New Mexico",20,CO2,1533.99
PV Recycling Plant,"San Juan, New Mexico",21,CO2,1159.95
PV Recycling Plant,"San Juan, New Mexico",22,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",23,CO2,1168.13
PV Recycling Plant,"San Juan, New Mexico",24,CO2,1321.15
PV Recycling Plant,"San Juan, New Mexico",25,CO2,2249.67
PV Recycling Plant,"San Juan, New Mexico",26,CO2,1660.87
PV Recycling Plant,"Dan River, North Carolina",1,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",2,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",3,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",4,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",5,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",6,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",7,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",8,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",9,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",10,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",11,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",12,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",13,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",14,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",15,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",16,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",17,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",18,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",19,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",20,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",21,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",22,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",23,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",24,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",25,CO2,1955.27
PV Recycling Plant,"Dan River, North Carolina",26,CO2,1955.27
PV Recycling Plant,"St Johns River Power Park, Florida",1,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",2,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",3,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",4,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",5,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",6,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",7,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",8,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",9,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",10,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",11,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",12,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",13,CO2,1603.82
PV Recycling Plant,"St Johns River Power Park, Florida",14,CO2,1034.61
PV Recycling Plant,"St Johns River Power Park, Florida",15,CO2,1327.91
PV Recycling Plant,"St Johns River Power Park, Florida",16,CO2,1955.27
PV Recycling Plant,"St Johns River Power Park, Florida",17,CO2,1955.27
PV Recycling Plant,"St Johns River Power Park, Florida",18,CO2,1955.27
PV Recycling Plant,"St Johns River Power Park, Florida",19,CO2,1955.27
PV Recycling Plant,"St Johns River Power Park, Florida",20,CO2,3036.47
PV Recycling Plant,"St Johns River Power Park, Florida",21,CO2,874.08
PV Recycling Plant,"St Johns River Power Park, Florida",22,CO2,4940.22
PV Recycling Plant,"St Johns River Power Park, Florida",23,CO2,200.79
PV Recycling Plant,"St Johns River Power Park, Florida",24,CO2,724.81
PV Recycling Plant,"St Johns River Power Park, Florida",25,CO2,2901.87
PV Recycling Plant,"St Johns River Power Park, Florida",26,CO2,1008.68
PV Recycling Plant,"Lansing Smith, Florida",1,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",2,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",3,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",4,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",5,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",6,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",7,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",8,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",9,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",10,CO2,521.19
