plant type,location name,year,emission type,emission amount (tonne)
PV Recycling Plant,"Kuykendall Cement Corp., AR",1,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",2,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",3,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",4,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",5,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",6,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",7,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",8,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",9,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",10,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",11,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",12,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",13,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",14,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",15,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",16,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",17,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",18,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",19,CO2,247.74
PV Recycling Plant,"Kuykendall Cement Corp., AR",20,CO2,258.17
PV Recycling Plant,"Kuykendall Cement Corp., AR",21,CO2,195.47
PV Recycling Plant,"Kuykendall Cement Corp., AR",22,CO2,10763.95
PV Recycling Plant,"Kuykendall Cement Corp., AR",23,CO2,4465.03
PV Recycling Plant,"Kuykendall Cement Corp., AR",24,CO2,6210.14
PV Recycling Plant,"Kuykendall Cement Corp., AR",25,CO2,9776.36
PV Recycling Plant,"Kuykendall Cement Corp., AR",26,CO2,9776.36
PV Recycling Plant,"Baldor Electric Co., AR",1,CO2,27.88
PV Recycling Plant,"Baldor Electric Co., AR",2,CO2,19.21
PV Recycling Plant,"Baldor Electric Co., AR",3,CO2,30.36
