plant type,location name,year,emission type,emission amount (tonne)
PV Recycling Plant,"Sandvik, Inc., FL",1,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",2,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",3,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",4,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",5,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",6,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",7,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",8,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",9,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",10,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",11,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",12,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",13,CO2,4345.0
PV Recycling Plant,"Sandvik, Inc., FL",14,CO2,0.0
PV Recycling Plant,"Sandvik, Inc., FL",15,CO2,1520.82
PV Recycling Plant,"Sandvik, Inc., FL",16,CO2,2798.94
PV Recycling Plant,"Sandvik, Inc., FL",17,CO2,2272.34
PV Recycling Plant,"Sandvik, Inc., FL",18,CO2,794.53
PV Recycling Plant,"Sandvik, Inc., FL",19,CO2,1972.68
PV Recycling Plant,"Sandvik, Inc., FL",20,CO2,2895.69
PV Recycling Plant,"Sandvik, Inc., FL",21,CO2,997.45
PV Recycling Plant,"Sandvik, Inc., FL",22,CO2,3085.75
PV Recycling Plant,"Sandvik, Inc., FL",23,CO2,2427.17
PV Recycling Plant,"Sandvik, Inc., FL",24,CO2,352.9
PV Recycling Plant,"Sandvik, Inc., FL",25,CO2,2415.38
PV Recycling Plant,"Sandvik, Inc., FL",26,CO2,1495.17
PV Recycling Plant,"Flex-Tec, Inc., GA",1,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",2,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",3,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",4,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",5,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",6,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",7,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",8,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",9,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",10,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",11,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",12,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",13,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",14,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",15,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",16,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",17,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",18,CO2,0.0
PV Recycling Plant,"Flex-Tec, Inc., GA",19,CO2,3107.31
PV Recycling Plant,"Flex-Tec, Inc., GA",20,CO2,1477.05
PV Recycling Plant,"Flex-Tec, Inc., GA",21,CO2,1281.47
PV Recycling Plant,"Flex-Tec, Inc., GA",22,CO2,1955.27
PV Recycling Plant,"Flex-Tec, Inc., GA",23,CO2,1955.27
PV Recycling Plant,"Flex-Tec, Inc., GA",24,CO2,1955.27
