plant type,location name,year,latitude (deg),longitude (deg),capacity (tonne),amount processed (tonne),amount received (tonne),amount in storage (tonne),utilization factor (%),energy (GJ),opening cost ($),expansion cost ($),fixed operating cost ($),variable operating cost ($),storage cost ($),total cost ($)
PV Recycling Plant,"Glen Lyn, Virginia",1,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",2,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",3,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",4,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",5,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",6,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",7,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",8,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",9,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",10,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",11,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",12,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",13,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",14,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",15,37.318072,-80.698321,0.0,0.0,0.0,0.0,NaN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",16,37.318072,-80.698321,7000.0,7000.0,9220.357003,2220.357003,100.0,8076.756124,5.839544533319e6,0.0,225936.170213,2.277680851064e6,0.0,8.343161554596e6
PV Recycling Plant,"Glen Lyn, Virginia",17,37.318072,-80.698321,7000.0,7000.0,4779.642997,0.0,100.0,4186.823876,-0.0,0.0,225936.170213,2.277680851064e6,0.0,2.503617021277e6
PV Recycling Plant,"Glen Lyn, Virginia",18,37.318072,-80.698321,7000.0,7000.0,7000.0,0.0,100.0,6131.79,-0.0,0.0,225936.170213,2.277680851064e6,0.0,2.503617021277e6
PV Recycling Plant,"Glen Lyn, Virginia",19,37.318072,-80.698321,7000.0,7000.0,7000.0,0.0,100.0,6131.79,-0.0,0.0,225936.170213,2.277680851064e6,0.0,2.503617021277e6
PV Recycling Plant,"Glen Lyn, Virginia",20,37.318072,-80.698321,7000.0,7000.0,7000.0,0.0,100.0,6131.79,-0.0,0.0,225936.170213,2.277680851064e6,0.0,2.503617021277e6
PV Recycling Plant,"Glen Lyn, Virginia",21,37.318072,-80.698321,7000.0,7000.0,7000.0,0.0,100.0,6131.79,-0.0,0.0,225936.170213,2.277680851064e6,0.0,2.503617021277e6
PV Recycling Plant,"Glen Lyn, Virginia",22,37.318072,-80.698321,7000.0,7000.0,7000.0,0.0,100.0,6131.79,-0.0,0.0,225936.170213,2.277680851064e6,0.0,2.503617021277e6
PV Recycling Plant,"Glen Lyn, Virginia",23,37.318072,-80.698321,7000.0,7000.0,7000.0,0.0,100.0,6131.79,-0.0,0.0,225936.170213,2.277680851064e6,0.0,2.503617021277e6
PV Recycling Plant,"Glen Lyn, Virginia",24,37.318072,-80.698321,7000.0,7000.0,7000.0,0.0,100.0,6131.79,-0.0,0.0,225936.170213,2.277680851064e6,0.0,2.503617021277e6
PV Recycling Plant,"Glen Lyn, Virginia",25,37.318072,-80.698321,7000.0,7000.0,7000.0,0.0,100.0,6131.79,-0.0,0.0,225936.170213,2.277680851064e6,0.0,2.503617021277e6
