plant type,location name,year,latitude (deg),longitude (deg),capacity (tonne),amount processed (tonne),amount received (tonne),amount in storage (tonne),utilization factor (%),energy (GJ),opening cost ($),expansion cost ($),fixed operating cost ($),variable operating cost ($),storage cost ($),total cost ($)
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",1,35.0,-92.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,4.53356796170213e8,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.66249506141238e9
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",2,35.0,-92.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",3,35.0,-92.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",4,35.0,-92.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",5,35.0,-92.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",6,35.0,-92.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",7,35.0,-92.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",8,35.0,-92.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",9,35.0,-92.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",10,35.0,-92.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",11,35.0,-92.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",12,35.0,-92.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",13,35.0,-92.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",14,35.0,-92.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",15,35.0,-92.0,519774.0211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2457203574894e7,0.0,0.0,4.2457203574894e7
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",16,35.0,-92.0,519774.0211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2457203574894e7,0.0,0.0,4.2457203574894e7
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",17,35.0,-92.0,519774.0211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2457203574894e7,0.0,0.0,4.2457203574894e7
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",18,35.0,-92.0,519774.0211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2457203574894e7,0.0,0.0,4.2457203574894e7
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",19,35.0,-92.0,519774.0211,50245.345609,50245.345609,0.0,9.666767,9.987299765033e6,0.0,0.0,4.2457203574894e7,2.09448018463741e8,0.0,2.51905222038635e8
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",20,35.0,-92.0,519774.0211,50112.199844,50112.199844,0.0,9.641151,9.960834295447e6,0.0,0.0,4.2457203574894e7,2.08892999560452e8,0.0,2.51350203135346e8
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",21,35.0,-92.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",22,35.0,-92.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",23,35.0,-92.0,519774.0211,4796.998149,4796.998149,0.0,0.922901,953502.41707,0.0,0.0,4.2457203574894e7,1.9996314975432e7,0.0,6.2453518550326e7
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",24,35.0,-92.0,519774.0211,4786.068972,4786.068972,0.0,0.920798,951330.017597,0.0,0.0,4.2457203574894e7,1.9950756638781e7,0.0,6.2407960213675e7
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",25,35.0,-92.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Kuykendall Cement Corp., AR",26,35.0,-92.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Baldor Electric Co., AR",1,35.0,-93.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,4.53356796170213e8,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.66249506141238e9
PV Manufacturing Plant,"Baldor Electric Co., AR",2,35.0,-93.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Baldor Electric Co., AR",3,35.0,-93.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Baldor Electric Co., AR",4,35.0,-93.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Baldor Electric Co., AR",5,35.0,-93.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Baldor Electric Co., AR",6,35.0,-93.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Baldor Electric Co., AR",7,35.0,-93.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Baldor Electric Co., AR",8,35.0,-93.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Baldor Electric Co., AR",9,35.0,-93.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Baldor Electric Co., AR",10,35.0,-93.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Baldor Electric Co., AR",11,35.0,-93.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Baldor Electric Co., AR",12,35.0,-93.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Baldor Electric Co., AR",13,35.0,-93.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Baldor Electric Co., AR",14,35.0,-93.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Baldor Electric Co., AR",15,35.0,-93.0,519774.0211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2457203574894e7,0.0,0.0,4.2457203574894e7
PV Manufacturing Plant,"Baldor Electric Co., AR",16,35.0,-93.0,519774.0211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2457203574894e7,0.0,0.0,4.2457203574894e7
PV Manufacturing Plant,"Baldor Electric Co., AR",17,35.0,-93.0,519774.0211,193414.848412,193414.848412,0.0,37.211334,3.8445194210146e7,0.0,0.0,4.2457203574894e7,8.06250932305179e8,0.0,8.48708135880073e8
PV Manufacturing Plant,"Baldor Electric Co., AR",18,35.0,-93.0,519774.0211,186858.212067,186858.212067,0.0,35.949894,3.7141927373509e7,0.0,0.0,4.2457203574894e7,7.78919555167698e8,0.0,8.21376758742592e8
PV Manufacturing Plant,"Baldor Electric Co., AR",19,35.0,-93.0,519774.0211,315722.181032,315722.181032,0.0,60.742201,6.275630162776e7,0.0,0.0,4.2457203574894e7,1.316089767132784e9,0.0,1.358546970707678e9
PV Manufacturing Plant,"Baldor Electric Co., AR",20,35.0,-93.0,519774.0211,310753.478021,310753.478021,0.0,59.786266,6.1768669324343e7,0.0,0.0,4.2457203574894e7,1.295377699427996e9,0.0,1.33783490300289e9
PV Manufacturing Plant,"Baldor Electric Co., AR",21,35.0,-93.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Baldor Electric Co., AR",22,35.0,-93.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Baldor Electric Co., AR",23,35.0,-93.0,519774.0211,456324.056341,456324.056341,0.0,87.792779,9.0703827099255e7,0.0,0.0,4.2457203574894e7,1.902189510675472e9,0.0,1.944646714250366e9
PV Manufacturing Plant,"Baldor Electric Co., AR",24,35.0,-93.0,519774.0211,455284.396534,455284.396534,0.0,87.592757,9.0497173248502e7,0.0,0.0,4.2457203574894e7,1.897855682657258e9,0.0,1.940312886232152e9
PV Manufacturing Plant,"Baldor Electric Co., AR",25,35.0,-93.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Baldor Electric Co., AR",26,35.0,-93.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Columbia Block & Brick, MS",1,31.0,-90.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,4.34977466595745e8,0.0,4.0735965592128e7,2.078842640248329e9,0.0,2.554556072436202e9
PV Manufacturing Plant,"Columbia Block & Brick, MS",2,31.0,-90.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.0735965592128e7,2.078842640248329e9,0.0,2.119578605840457e9
PV Manufacturing Plant,"Columbia Block & Brick, MS",3,31.0,-90.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.0735965592128e7,2.078842640248329e9,0.0,2.119578605840457e9
PV Manufacturing Plant,"Columbia Block & Brick, MS",4,31.0,-90.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.0735965592128e7,2.078842640248329e9,0.0,2.119578605840457e9
PV Manufacturing Plant,"Columbia Block & Brick, MS",5,31.0,-90.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.0735965592128e7,2.078842640248329e9,0.0,2.119578605840457e9
PV Manufacturing Plant,"Columbia Block & Brick, MS",6,31.0,-90.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.0735965592128e7,2.078842640248329e9,0.0,2.119578605840457e9
PV Manufacturing Plant,"Columbia Block & Brick, MS",7,31.0,-90.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.0735965592128e7,2.078842640248329e9,0.0,2.119578605840457e9
PV Manufacturing Plant,"Columbia Block & Brick, MS",8,31.0,-90.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.0735965592128e7,2.078842640248329e9,0.0,2.119578605840457e9
PV Manufacturing Plant,"Columbia Block & Brick, MS",9,31.0,-90.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.0735965592128e7,2.078842640248329e9,0.0,2.119578605840457e9
PV Manufacturing Plant,"Columbia Block & Brick, MS",10,31.0,-90.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.0735965592128e7,2.078842640248329e9,0.0,2.119578605840457e9
PV Manufacturing Plant,"Columbia Block & Brick, MS",11,31.0,-90.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.0735965592128e7,2.078842640248329e9,0.0,2.119578605840457e9
PV Manufacturing Plant,"Columbia Block & Brick, MS",12,31.0,-90.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.0735965592128e7,2.078842640248329e9,0.0,2.119578605840457e9
PV Manufacturing Plant,"Columbia Block & Brick, MS",13,31.0,-90.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.0735965592128e7,2.078842640248329e9,0.0,2.119578605840457e9
PV Manufacturing Plant,"Columbia Block & Brick, MS",14,31.0,-90.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.0735965592128e7,2.078842640248329e9,0.0,2.119578605840457e9
PV Manufacturing Plant,"Columbia Block & Brick, MS",15,31.0,-90.0,519774.0211,91611.778267,91611.778267,0.0,17.625309,1.8209732274027e7,0.0,0.0,4.0735965592128e7,3.66402442752187e8,0.0,4.07138408344315e8
PV Manufacturing Plant,"Columbia Block & Brick, MS",16,31.0,-90.0,519774.0211,91321.704501,91321.704501,0.0,17.569502,1.815207412449e7,0.0,0.0,4.0735965592128e7,3.65242289131193e8,0.0,4.05978254723321e8
PV Manufacturing Plant,"Columbia Block & Brick, MS",17,31.0,-90.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.0735965592128e7,2.078842640248329e9,0.0,2.119578605840457e9
PV Manufacturing Plant,"Columbia Block & Brick, MS",18,31.0,-90.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.0735965592128e7,2.078842640248329e9,0.0,2.119578605840457e9
PV Manufacturing Plant,"Columbia Block & Brick, MS",19,31.0,-90.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.0735965592128e7,2.078842640248329e9,0.0,2.119578605840457e9
PV Manufacturing Plant,"Columbia Block & Brick, MS",20,31.0,-90.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.0735965592128e7,2.078842640248329e9,0.0,2.119578605840457e9
PV Manufacturing Plant,"Columbia Block & Brick, MS",21,31.0,-90.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.0735965592128e7,2.078842640248329e9,0.0,2.119578605840457e9
PV Manufacturing Plant,"Columbia Block & Brick, MS",22,31.0,-90.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.0735965592128e7,2.078842640248329e9,0.0,2.119578605840457e9
PV Manufacturing Plant,"Columbia Block & Brick, MS",23,31.0,-90.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.0735965592128e7,2.078842640248329e9,0.0,2.119578605840457e9
PV Manufacturing Plant,"Columbia Block & Brick, MS",24,31.0,-90.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.0735965592128e7,2.078842640248329e9,0.0,2.119578605840457e9
PV Manufacturing Plant,"Columbia Block & Brick, MS",25,31.0,-90.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.0735965592128e7,2.078842640248329e9,0.0,2.119578605840457e9
PV Manufacturing Plant,"Columbia Block & Brick, MS",26,31.0,-90.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.0735965592128e7,2.078842640248329e9,0.0,2.119578605840457e9
PV Manufacturing Plant,"Arkansas Concrete, AR",1,35.0,-91.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,4.53356796170213e8,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.66249506141238e9
PV Manufacturing Plant,"Arkansas Concrete, AR",2,35.0,-91.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Arkansas Concrete, AR",3,35.0,-91.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Arkansas Concrete, AR",4,35.0,-91.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Arkansas Concrete, AR",5,35.0,-91.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Arkansas Concrete, AR",6,35.0,-91.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Arkansas Concrete, AR",7,35.0,-91.0,519774.0211,53906.413704,53906.413704,0.0,10.371125,1.0715012632422e7,0.0,0.0,4.2457203574894e7,2.24709202334362e8,0.0,2.67166405909256e8
PV Manufacturing Plant,"Arkansas Concrete, AR",8,35.0,-91.0,519774.0211,25801.959804,25801.959804,0.0,4.964073,5.128672197619e6,0.0,0.0,4.2457203574894e7,1.07555621080118e8,0.0,1.50012824655012e8
PV Manufacturing Plant,"Arkansas Concrete, AR",9,35.0,-91.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Arkansas Concrete, AR",10,35.0,-91.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Arkansas Concrete, AR",11,35.0,-91.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Arkansas Concrete, AR",12,35.0,-91.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Arkansas Concrete, AR",13,35.0,-91.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Arkansas Concrete, AR",14,35.0,-91.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Arkansas Concrete, AR",15,35.0,-91.0,519774.0211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2457203574894e7,0.0,0.0,4.2457203574894e7
PV Manufacturing Plant,"Arkansas Concrete, AR",16,35.0,-91.0,519774.0211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2457203574894e7,0.0,0.0,4.2457203574894e7
PV Manufacturing Plant,"Arkansas Concrete, AR",17,35.0,-91.0,519774.0211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2457203574894e7,0.0,0.0,4.2457203574894e7
PV Manufacturing Plant,"Arkansas Concrete, AR",18,35.0,-91.0,519774.0211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2457203574894e7,0.0,0.0,4.2457203574894e7
PV Manufacturing Plant,"Arkansas Concrete, AR",19,35.0,-91.0,519774.0211,270639.028863,270639.028863,0.0,52.068595,5.3795094383421e7,0.0,0.0,4.2457203574894e7,1.12816038236143e9,0.0,1.170617585936324e9
PV Manufacturing Plant,"Arkansas Concrete, AR",20,35.0,-91.0,519774.0211,268544.503513,268544.503513,0.0,51.665626,5.3378764228255e7,0.0,0.0,4.2457203574894e7,1.1194293411313e9,0.0,1.161886544706194e9
PV Manufacturing Plant,"Arkansas Concrete, AR",21,35.0,-91.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Arkansas Concrete, AR",22,35.0,-91.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Arkansas Concrete, AR",23,35.0,-91.0,519774.0211,46350.539266,46350.539266,0.0,8.917441,9.213126595291e6,0.0,0.0,4.2457203574894e7,1.9321249533287e8,0.0,2.35669698907764e8
PV Manufacturing Plant,"Arkansas Concrete, AR",24,35.0,-91.0,519774.0211,41508.056392,41508.056392,0.0,7.985789,8.250583150024e6,0.0,0.0,4.2457203574894e7,1.73026577012644e8,0.0,2.15483780587538e8
PV Manufacturing Plant,"Arkansas Concrete, AR",25,35.0,-91.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Arkansas Concrete, AR",26,35.0,-91.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.2457203574894e7,2.166681061667272e9,0.0,2.209138265242166e9
PV Manufacturing Plant,"Standard Enterprises, Inc., VA",1,38.0,-78.0,519774.0211,388325.451622,388325.451622,0.0,74.710439,7.7187700566519e7,5.02368341702128e8,0.0,4.7047171528936e7,1.793735514008168e9,0.0,2.343151027239232e9
PV Manufacturing Plant,"Standard Enterprises, Inc., VA",2,38.0,-78.0,519774.0211,296813.996231,296813.996231,0.0,57.104431,5.899790953531e7,0.0,0.0,4.7047171528936e7,1.3710299025494e9,0.0,1.418077074078336e9
PV Manufacturing Plant,"Standard Enterprises, Inc., VA",3,38.0,-78.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.7047171528936e7,2.400916852117788e9,0.0,2.447964023646724e9
PV Manufacturing Plant,"Standard Enterprises, Inc., VA",4,38.0,-78.0,519774.0211,486586.070247,486586.070247,0.0,93.614927,9.6719027128426e7,0.0,0.0,4.7047171528936e7,2.247616557654394e9,0.0,2.29466372918333e9
PV Manufacturing Plant,"Standard Enterprises, Inc., VA",5,38.0,-78.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.7047171528936e7,2.400916852117788e9,0.0,2.447964023646724e9
PV Manufacturing Plant,"Standard Enterprises, Inc., VA",6,38.0,-78.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.7047171528936e7,2.400916852117788e9,0.0,2.447964023646724e9
PV Manufacturing Plant,"Standard Enterprises, Inc., VA",7,38.0,-78.0,519774.0211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7047171528936e7,0.0,0.0,4.7047171528936e7
PV Manufacturing Plant,"Standard Enterprises, Inc., VA",8,38.0,-78.0,519774.0211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7047171528936e7,0.0,0.0,4.7047171528936e7
PV Manufacturing Plant,"Standard Enterprises, Inc., VA",9,38.0,-78.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.7047171528936e7,2.400916852117788e9,0.0,2.447964023646724e9
PV Manufacturing Plant,"Standard Enterprises, Inc., VA",10,38.0,-78.0,519774.0211,519774.0211,519774.0211,0.0,100.0,1.03315817532245e8,0.0,0.0,4.7047171528936e7,2.400916852117788e9,0.0,2.447964023646724e9
PV Manufacturing Plant,"Standard Enterprises, Inc., VA",11,38.0,-78.0,519774.0211,373294.606984,373294.606984,0.0,71.818635,7.4200009879865e7,0.0,0.0,4.7047171528936e7,1.724305710423031e9,0.0,1.771352881951967e9
PV Manufacturing Plant,"Standard Enterprises, Inc., VA",12,38.0,-78.0,519774.0211,371826.496534,371826.496534,0.0,71.536183,7.3908192618593e7,0.0,0.0,4.7047171528936e7,1.717524280463299e9,0.0,1.764571451992235e9
PV Manufacturing Plant,"Standard Enterprises, Inc., VA",13,38.0,-78.0,519774.0211,9442.073015,9442.073015,0.0,1.816573,1.876806945226e6,0.0,0.0,4.7047171528936e7,4.3614400297978e7,0.0,9.0661571826914e7
PV Manufacturing Plant,"Standard Enterprises, Inc., VA",14,38.0,-78.0,519774.0211,3012.886719,3012.886719,0.0,0.579653,598873.436964,0.0,0.0,4.7047171528936e7,1.3916991235578e7,0.0,6.0964162764514e7
PV Manufacturing Plant,"Standard Enterprises, Inc., VA",15,38.0,-78.0,519774.0211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7047171528936e7,0.0,0.0,4.7047171528936e7
PV Manufacturing Plant,"Standard Enterprises, Inc., VA",16,38.0,-78.0,519774.0211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7047171528936e7,0.0,0.0,4.7047171528936e7
PV Manufacturing Plant,"Standard Enterprises, Inc., VA",17,38.0,-78.0,519774.0211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7047171528936e7,0.0,0.0,4.7047171528936e7
