plant type,location name,year,product name,amount produced (tonne),amount sent (tonne),amount disposed (tonne),disposal cost ($)
PV Manufacturing Plant,"Croell Redi Mix, LLC, NE",26,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",1,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",2,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",3,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",4,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",5,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",6,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",7,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",8,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",9,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",10,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",11,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",12,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",13,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",14,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",15,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",16,PV Modules,0.0,0.0,0.0,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",17,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",18,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",19,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",20,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",21,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",22,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",23,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",24,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",25,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Sandvik, Inc., FL",26,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",1,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",2,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",3,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",4,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",5,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",6,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",7,PV Modules,51977.40211,0.0,51977.40211,0.0
PV Manufacturing Plant,"Flex-Tec, Inc., GA",8,PV Modules,51977.40211,0.0,51977.40211,0.0
