plant type,location name,year,product name,amount produced (tonne),amount sent (tonne),amount disposed (tonne),disposal cost ($)
PV Recycling Plant,"Sandvik, Inc., FL",1,Silicon (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",2,Silicon (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",3,Silicon (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",4,Silicon (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",5,Silicon (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",6,Silicon (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",7,Silicon (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",8,Silicon (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",9,Silicon (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",10,Silicon (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",11,Silicon (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",12,Silicon (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",13,Silicon (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",14,Silicon (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",15,Silicon (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",16,Silicon (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",17,Silicon (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",18,Silicon (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",19,Silicon (cSi),188.037688,0.0,188.037688,0.0
PV Recycling Plant,"Sandvik, Inc., FL",20,Silicon (cSi),188.037688,0.0,188.037688,0.0
PV Recycling Plant,"Sandvik, Inc., FL",21,Silicon (cSi),188.037688,0.0,188.037688,0.0
PV Recycling Plant,"Sandvik, Inc., FL",22,Silicon (cSi),188.037688,0.0,188.037688,0.0
PV Recycling Plant,"Sandvik, Inc., FL",23,Silicon (cSi),188.037688,0.0,188.037688,0.0
PV Recycling Plant,"Sandvik, Inc., FL",24,Silicon (cSi),188.037688,0.0,188.037688,0.0
PV Recycling Plant,"Sandvik, Inc., FL",25,Silicon (cSi),188.037688,0.0,188.037688,0.0
PV Recycling Plant,"Sandvik, Inc., FL",26,Silicon (cSi),188.037688,0.0,188.037688,0.0
PV Recycling Plant,"Sandvik, Inc., FL",1,Silver (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",2,Silver (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",3,Silver (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",4,Silver (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",5,Silver (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",6,Silver (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",7,Silver (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",8,Silver (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",9,Silver (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",10,Silver (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",11,Silver (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",12,Silver (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",13,Silver (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",14,Silver (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",15,Silver (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",16,Silver (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",17,Silver (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",18,Silver (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Sandvik, Inc., FL",19,Silver (cSi),2.068609,0.0,2.068609,0.0
PV Recycling Plant,"Sandvik, Inc., FL",20,Silver (cSi),2.068609,0.0,2.068609,0.0
