source type,source location name,source latitude (deg),source longitude (deg),destination type,destination location name,destination latitude (deg),destination longitude (deg),product,year,distance (km),amount (tonne),amount-distance (tonne-km),transportation cost ($),transportation energy (GJ)
Origin,"Judith Basin County, Montana",47.249484,-110.223112,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,1,1201.141,0.0,0.0,0.0,0.0
Origin,"Judith Basin County, Montana",47.249484,-110.223112,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,2,1201.141,0.0,0.0,0.0,0.0
Origin,"Judith Basin County, Montana",47.249484,-110.223112,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,3,1201.141,0.0,0.0,0.0,0.0
Origin,"Judith Basin County, Montana",47.249484,-110.223112,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,4,1201.141,0.0,0.0,0.0,0.0
Origin,"Judith Basin County, Montana",47.249484,-110.223112,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,5,1201.141,0.0,0.0,0.0,0.0
Origin,"Judith Basin County, Montana",47.249484,-110.223112,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,6,1201.141,0.0,0.0,0.0,0.0
Origin,"Judith Basin County, Montana",47.249484,-110.223112,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,7,1201.141,0.0,0.0,0.0,0.0
Origin,"Judith Basin County, Montana",47.249484,-110.223112,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,8,1201.141,0.0,0.0,0.0,0.0
Origin,"Judith Basin County, Montana",47.249484,-110.223112,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,9,1201.141,0.0,0.0,0.0,0.0
Origin,"Judith Basin County, Montana",47.249484,-110.223112,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,10,1201.141,0.0,0.0,0.0,0.0
Origin,"Judith Basin County, Montana",47.249484,-110.223112,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,11,1201.141,0.0,0.0,0.0,0.0
Origin,"Judith Basin County, Montana",47.249484,-110.223112,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,12,1201.141,0.0,0.0,0.0,0.0
Origin,"Judith Basin County, Montana",47.249484,-110.223112,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,13,1201.141,0.0,0.0,0.0,0.0
Origin,"Judith Basin County, Montana",47.249484,-110.223112,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,14,1201.141,0.0,0.0,0.0,0.0
Origin,"Judith Basin County, Montana",47.249484,-110.223112,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,15,1201.141,0.0,0.0,0.0,0.0
Origin,"Judith Basin County, Montana",47.249484,-110.223112,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,16,1201.141,0.0,0.0,0.0,0.0
Origin,"Judith Basin County, Montana",47.249484,-110.223112,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,17,1201.141,0.0,0.0,0.0,0.0
Origin,"Judith Basin County, Montana",47.249484,-110.223112,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,18,1201.141,79.21627,95149.909369,5628.66983,258.807753
Origin,"Judith Basin County, Montana",47.249484,-110.223112,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,19,1201.141,0.0,0.0,0.0,0.0
Origin,"Judith Basin County, Montana",47.249484,-110.223112,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,20,1201.141,0.0,0.0,0.0,0.0
Origin,"Judith Basin County, Montana",47.249484,-110.223112,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,21,1201.141,0.0,0.0,0.0,0.0
Origin,"Judith Basin County, Montana",47.249484,-110.223112,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,22,1201.141,0.0,0.0,0.0,0.0
Origin,"Judith Basin County, Montana",47.249484,-110.223112,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,23,1201.141,0.0,0.0,0.0,0.0
Origin,"Judith Basin County, Montana",47.249484,-110.223112,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,24,1201.141,0.0,0.0,0.0,0.0
Origin,"Judith Basin County, Montana",47.249484,-110.223112,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,25,1201.141,211.141186,253610.335362,15002.524466,689.820112
Origin,"Judith Basin County, Montana",47.249484,-110.223112,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,26,1201.141,14.75104,17718.078847,1048.127282,48.193174
Origin,"Duchesne County, Utah",40.521413,-110.318286,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,1,477.717,0.0,0.0,0.0,0.0
Origin,"Duchesne County, Utah",40.521413,-110.318286,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,2,477.717,0.0,0.0,0.0,0.0
Origin,"Duchesne County, Utah",40.521413,-110.318286,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,3,477.717,0.0,0.0,0.0,0.0
Origin,"Duchesne County, Utah",40.521413,-110.318286,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,4,477.717,0.0,0.0,0.0,0.0
Origin,"Duchesne County, Utah",40.521413,-110.318286,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,5,477.717,0.0,0.0,0.0,0.0
Origin,"Duchesne County, Utah",40.521413,-110.318286,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,6,477.717,0.0,0.0,0.0,0.0
Origin,"Duchesne County, Utah",40.521413,-110.318286,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,7,477.717,0.0,0.0,0.0,0.0
Origin,"Duchesne County, Utah",40.521413,-110.318286,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,8,477.717,0.0,0.0,0.0,0.0
Origin,"Duchesne County, Utah",40.521413,-110.318286,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,9,477.717,0.0,0.0,0.0,0.0
Origin,"Duchesne County, Utah",40.521413,-110.318286,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,10,477.717,0.0,0.0,0.0,0.0
Origin,"Duchesne County, Utah",40.521413,-110.318286,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,11,477.717,0.0,0.0,0.0,0.0
Origin,"Duchesne County, Utah",40.521413,-110.318286,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,12,477.717,0.0,0.0,0.0,0.0
Origin,"Duchesne County, Utah",40.521413,-110.318286,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,13,477.717,79.869686,38155.106711,2257.096191,103.78189
Origin,"Duchesne County, Utah",40.521413,-110.318286,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,14,477.717,69.986451,33433.717371,1977.798587,90.939711
Origin,"Duchesne County, Utah",40.521413,-110.318286,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,15,477.717,93.278891,44560.91178,2636.03677,121.20568
Origin,"Duchesne County, Utah",40.521413,-110.318286,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,16,477.717,146.174275,69829.936021,4130.846332,189.937426
Origin,"Duchesne County, Utah",40.521413,-110.318286,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,17,477.717,152.350596,72780.469552,4305.387529,197.962877
Origin,"Duchesne County, Utah",40.521413,-110.318286,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,18,477.717,190.45125,90981.799573,5382.101925,247.470495
Origin,"Duchesne County, Utah",40.521413,-110.318286,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,19,477.717,391.808833,187173.740045,11072.413947,509.112573
Origin,"Duchesne County, Utah",40.521413,-110.318286,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,20,477.717,399.941484,191058.845971,11302.24053,519.680061
Origin,"Duchesne County, Utah",40.521413,-110.318286,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,21,477.717,262.545622,125422.506923,7419.469818,341.149219
Origin,"Duchesne County, Utah",40.521413,-110.318286,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,22,477.717,415.832358,198650.186341,11751.312408,540.328507
Origin,"Duchesne County, Utah",40.521413,-110.318286,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,23,477.717,316.921353,151398.717848,8956.11358,411.804513
Origin,"Duchesne County, Utah",40.521413,-110.318286,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,24,477.717,348.57636,166520.852934,9850.67571,452.93672
Origin,"Duchesne County, Utah",40.521413,-110.318286,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,25,477.717,432.059206,206402.027662,12209.87885,561.413515
Origin,"Duchesne County, Utah",40.521413,-110.318286,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,26,477.717,363.199296,173506.47828,10263.916026,471.937621
Origin,"Fremont County, Wyoming",43.043881,-109.277895,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,1,729.449,0.0,0.0,0.0,0.0
Origin,"Fremont County, Wyoming",43.043881,-109.277895,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,2,729.449,0.0,0.0,0.0,0.0
Origin,"Fremont County, Wyoming",43.043881,-109.277895,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,3,729.449,0.0,0.0,0.0,0.0
Origin,"Fremont County, Wyoming",43.043881,-109.277895,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,4,729.449,0.0,0.0,0.0,0.0
Origin,"Fremont County, Wyoming",43.043881,-109.277895,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,5,729.449,0.0,0.0,0.0,0.0
Origin,"Fremont County, Wyoming",43.043881,-109.277895,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,6,729.449,0.0,0.0,0.0,0.0
Origin,"Fremont County, Wyoming",43.043881,-109.277895,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,7,729.449,0.0,0.0,0.0,0.0
Origin,"Fremont County, Wyoming",43.043881,-109.277895,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,8,729.449,0.0,0.0,0.0,0.0
Origin,"Fremont County, Wyoming",43.043881,-109.277895,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,9,729.449,0.0,0.0,0.0,0.0
Origin,"Fremont County, Wyoming",43.043881,-109.277895,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,10,729.449,0.0,0.0,0.0,0.0
Origin,"Fremont County, Wyoming",43.043881,-109.277895,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,11,729.449,0.0,0.0,0.0,0.0
Origin,"Fremont County, Wyoming",43.043881,-109.277895,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,12,729.449,0.0,0.0,0.0,0.0
Origin,"Fremont County, Wyoming",43.043881,-109.277895,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,13,729.449,120.634676,87996.843669,5205.524444,239.351415
Origin,"Fremont County, Wyoming",43.043881,-109.277895,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,14,729.449,158.83762,115863.94337,6854.025261,315.149926
Origin,"Fremont County, Wyoming",43.043881,-109.277895,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,15,729.449,210.105122,153260.971246,9066.276686,416.869842
Origin,"Fremont County, Wyoming",43.043881,-109.277895,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,16,729.449,274.330813,200110.337027,11837.688803,544.300117
Origin,"Fremont County, Wyoming",43.043881,-109.277895,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,17,729.449,342.141332,249574.652336,14763.790373,678.843054
Origin,"Fremont County, Wyoming",43.043881,-109.277895,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,18,729.449,420.324072,306604.974239,18137.465182,833.96553
Origin,"Fremont County, Wyoming",43.043881,-109.277895,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,19,729.449,505.909159,369034.930443,21830.559724,1003.775011
Origin,"Fremont County, Wyoming",43.043881,-109.277895,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,20,729.449,582.81638,425134.825467,25149.194378,1156.366725
Origin,"Fremont County, Wyoming",43.043881,-109.277895,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,21,729.449,643.748334,469581.578181,27778.477976,1277.261893
Origin,"Fremont County, Wyoming",43.043881,-109.277895,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,22,729.449,2276.496957,1.660588428712e6,98233.451307,4516.800526
Origin,"Fremont County, Wyoming",43.043881,-109.277895,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,23,729.449,346.250806,252572.304313,14941.1189,686.996668
Origin,"Fremont County, Wyoming",43.043881,-109.277895,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,24,729.449,344.310984,251157.303048,14857.413356,683.147864
Origin,"Fremont County, Wyoming",43.043881,-109.277895,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,25,729.449,1191.081008,868832.85016,51396.509818,2363.225352
Origin,"Fremont County, Wyoming",43.043881,-109.277895,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,26,729.449,7.956965,5804.1999,343.352139,15.787424
Origin,"Crook County, Wyoming",44.248924,-105.038751,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,1,902.37,0.0,0.0,0.0,0.0
Origin,"Crook County, Wyoming",44.248924,-105.038751,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,2,902.37,0.0,0.0,0.0,0.0
Origin,"Crook County, Wyoming",44.248924,-105.038751,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,3,902.37,0.0,0.0,0.0,0.0
Origin,"Crook County, Wyoming",44.248924,-105.038751,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,4,902.37,0.0,0.0,0.0,0.0
Origin,"Crook County, Wyoming",44.248924,-105.038751,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,5,902.37,0.0,0.0,0.0,0.0
Origin,"Crook County, Wyoming",44.248924,-105.038751,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,6,902.37,0.0,0.0,0.0,0.0
Origin,"Crook County, Wyoming",44.248924,-105.038751,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,7,902.37,0.0,0.0,0.0,0.0
Origin,"Crook County, Wyoming",44.248924,-105.038751,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,8,902.37,0.0,0.0,0.0,0.0
Origin,"Crook County, Wyoming",44.248924,-105.038751,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,9,902.37,0.0,0.0,0.0,0.0
Origin,"Crook County, Wyoming",44.248924,-105.038751,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,10,902.37,0.0,0.0,0.0,0.0
Origin,"Crook County, Wyoming",44.248924,-105.038751,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,11,902.37,0.0,0.0,0.0,0.0
Origin,"Crook County, Wyoming",44.248924,-105.038751,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,12,902.37,0.0,0.0,0.0,0.0
Origin,"Crook County, Wyoming",44.248924,-105.038751,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,13,902.37,0.0,0.0,0.0,0.0
Origin,"Crook County, Wyoming",44.248924,-105.038751,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,14,902.37,0.0,0.0,0.0,0.0
Origin,"Crook County, Wyoming",44.248924,-105.038751,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,15,902.37,0.0,0.0,0.0,0.0
Origin,"Crook County, Wyoming",44.248924,-105.038751,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,16,902.37,0.0,0.0,0.0,0.0
Origin,"Crook County, Wyoming",44.248924,-105.038751,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,17,902.37,0.0,0.0,0.0,0.0
Origin,"Crook County, Wyoming",44.248924,-105.038751,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,18,902.37,0.0,0.0,0.0,0.0
Origin,"Crook County, Wyoming",44.248924,-105.038751,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,19,902.37,0.0,0.0,0.0,0.0
Origin,"Crook County, Wyoming",44.248924,-105.038751,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,20,902.37,0.0,0.0,0.0,0.0
Origin,"Crook County, Wyoming",44.248924,-105.038751,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,21,902.37,0.0,0.0,0.0,0.0
Origin,"Crook County, Wyoming",44.248924,-105.038751,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,22,902.37,0.0,0.0,0.0,0.0
Origin,"Crook County, Wyoming",44.248924,-105.038751,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,23,902.37,0.0,0.0,0.0,0.0
Origin,"Crook County, Wyoming",44.248924,-105.038751,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,24,902.37,0.0,0.0,0.0,0.0
Origin,"Crook County, Wyoming",44.248924,-105.038751,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,25,902.37,44.593346,40239.697616,2380.411852,109.451978
Origin,"Crook County, Wyoming",44.248924,-105.038751,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,26,902.37,58.332311,52637.327743,3113.803687,143.173531
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,1,428.187,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,2,428.187,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,3,428.187,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,4,428.187,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,5,428.187,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,6,428.187,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,7,428.187,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,8,428.187,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,9,428.187,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,10,428.187,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,11,428.187,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,12,428.187,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,13,428.187,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,14,428.187,0.0,0.0,0.0,0.0
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,15,428.187,3942.547514,1.688147592211e6,99863.735909,4591.761451
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,16,428.187,5967.602519,2.555249819862e6,151157.869353,6950.27951
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,17,428.187,6651.672332,2.848159620624e6,168485.185473,7746.994168
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,18,428.187,7828.446855,3.352039173633e6,198292.587885,9117.546552
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,19,428.187,30199.285377,1.2930941407934e7,764940.295369,35172.16063
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,20,428.187,26306.019668,1.1263895643639e7,666324.855155,30637.796151
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,21,428.187,2737.684987,1.172241121471e6,69344.871453,3188.49585
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,22,428.187,5039.182609,2.15771248385e6,127641.226779,5868.977956
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,23,428.187,3073.71711,1.316125708303e6,77856.480537,3579.861927
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,24,428.187,3365.578467,1.441096947245e6,85249.255233,3919.783697
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,25,428.187,4599.152954,1.96929750611e6,116495.386412,5356.489217
Origin,"Sanpete County, Utah",39.100507,-111.93171,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,26,428.187,3319.569582,1.421396540715e6,84083.861754,3866.198591
Origin,"Douglas County, Oregon",42.808348,-122.794129,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,1,1419.209,0.0,0.0,0.0,0.0
Origin,"Douglas County, Oregon",42.808348,-122.794129,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,2,1419.209,0.0,0.0,0.0,0.0
Origin,"Douglas County, Oregon",42.808348,-122.794129,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,3,1419.209,0.0,0.0,0.0,0.0
Origin,"Douglas County, Oregon",42.808348,-122.794129,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,4,1419.209,0.0,0.0,0.0,0.0
Origin,"Douglas County, Oregon",42.808348,-122.794129,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,5,1419.209,0.0,0.0,0.0,0.0
Origin,"Douglas County, Oregon",42.808348,-122.794129,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,6,1419.209,0.0,0.0,0.0,0.0
Origin,"Douglas County, Oregon",42.808348,-122.794129,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,7,1419.209,0.0,0.0,0.0,0.0
Origin,"Douglas County, Oregon",42.808348,-122.794129,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,8,1419.209,0.0,0.0,0.0,0.0
Origin,"Douglas County, Oregon",42.808348,-122.794129,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,9,1419.209,0.0,0.0,0.0,0.0
Origin,"Douglas County, Oregon",42.808348,-122.794129,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,10,1419.209,0.0,0.0,0.0,0.0
Origin,"Douglas County, Oregon",42.808348,-122.794129,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,11,1419.209,0.0,0.0,0.0,0.0
Origin,"Douglas County, Oregon",42.808348,-122.794129,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,12,1419.209,0.0,0.0,0.0,0.0
Origin,"Douglas County, Oregon",42.808348,-122.794129,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,13,1419.209,0.0,0.0,0.0,0.0
Origin,"Douglas County, Oregon",42.808348,-122.794129,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,14,1419.209,0.0,0.0,0.0,0.0
Origin,"Douglas County, Oregon",42.808348,-122.794129,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,15,1419.209,0.0,0.0,0.0,0.0
Origin,"Douglas County, Oregon",42.808348,-122.794129,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,16,1419.209,444.485467,630817.77553,37316.535611,1715.824349
Origin,"Douglas County, Oregon",42.808348,-122.794129,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,17,1419.209,421.624711,598373.584988,35397.273284,1627.576151
Origin,"Douglas County, Oregon",42.808348,-122.794129,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,18,1419.209,541.866457,769021.752614,45492.103632,2091.739167
Origin,"Douglas County, Oregon",42.808348,-122.794129,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,19,1419.209,905.426032,1.284988773332e6,76014.54997,3495.169463
Origin,"Douglas County, Oregon",42.808348,-122.794129,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,20,1419.209,1021.823403,1.450180970366e6,85786.627966,3944.492239
Origin,"Douglas County, Oregon",42.808348,-122.794129,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,21,1419.209,961.605073,1.364718573596e6,80731.030777,3712.03452
Origin,"Douglas County, Oregon",42.808348,-122.794129,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,22,1419.209,2401.903786,3.408803470903e6,201650.525792,9271.945441
Origin,"Douglas County, Oregon",42.808348,-122.794129,PV Recycling Plant,"San Juan, New Mexico",36.511624,-108.324578,PV Module,23,1419.209,1163.123844,1.650715827161e6,97649.429579,4489.94705
