plant type,location name,year,emission type,emission amount (tonne)
PV Recycling Plant,"Glen Lyn, Virginia",1,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",2,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",3,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",4,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",5,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",6,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",7,CO2,1.27
PV Recycling Plant,"Glen Lyn, Virginia",8,CO2,1.86
PV Recycling Plant,"Glen Lyn, Virginia",9,CO2,2.67
PV Recycling Plant,"Glen Lyn, Virginia",10,CO2,6.11
PV Recycling Plant,"Glen Lyn, Virginia",11,CO2,8.43
PV Recycling Plant,"Glen Lyn, Virginia",12,CO2,11.38
PV Recycling Plant,"Glen Lyn, Virginia",13,CO2,1955.27
PV Recycling Plant,"Glen Lyn, Virginia",14,CO2,673.68
PV Recycling Plant,"Glen Lyn, Virginia",15,CO2,979.51
PV Recycling Plant,"Glen Lyn, Virginia",16,CO2,2997.6
PV Recycling Plant,"Glen Lyn, Virginia",17,CO2,912.95
PV Recycling Plant,"Glen Lyn, Virginia",18,CO2,1955.27
PV Recycling Plant,"Glen Lyn, Virginia",19,CO2,1955.27
PV Recycling Plant,"Glen Lyn, Virginia",20,CO2,1955.27
PV Recycling Plant,"Glen Lyn, Virginia",21,CO2,1955.27
PV Recycling Plant,"Glen Lyn, Virginia",22,CO2,1955.27
PV Recycling Plant,"Glen Lyn, Virginia",23,CO2,1955.27
PV Recycling Plant,"Glen Lyn, Virginia",24,CO2,1955.27
PV Recycling Plant,"Glen Lyn, Virginia",25,CO2,1955.27
PV Recycling Plant,"Glen Lyn, Virginia",26,CO2,1955.27
PV Recycling Plant,"H B Robinson, South Carolina",1,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",2,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",3,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",4,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",5,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",6,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",7,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",8,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",9,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",10,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",11,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",12,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",13,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",14,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",15,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",16,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",17,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",18,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",19,CO2,8127.51
PV Recycling Plant,"H B Robinson, South Carolina",20,CO2,2261.46
PV Recycling Plant,"H B Robinson, South Carolina",21,CO2,1342.67
PV Recycling Plant,"H B Robinson, South Carolina",22,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",23,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",24,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",25,CO2,1955.27
PV Recycling Plant,"H B Robinson, South Carolina",26,CO2,1955.27
PV Recycling Plant,"San Juan, New Mexico",1,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",2,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",3,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",4,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",5,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",6,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",7,CO2,1786.4
PV Recycling Plant,"San Juan, New Mexico",8,CO2,1955.27
PV Recycling Plant,"San Juan, New Mexico",9,CO2,1955.27
PV Recycling Plant,"San Juan, New Mexico",10,CO2,1955.27
PV Recycling Plant,"San Juan, New Mexico",11,CO2,3092.81
PV Recycling Plant,"San Juan, New Mexico",12,CO2,817.74
PV Recycling Plant,"San Juan, New Mexico",13,CO2,5621.43
PV Recycling Plant,"San Juan, New Mexico",14,CO2,100.07
PV Recycling Plant,"San Juan, New Mexico",15,CO2,144.32
PV Recycling Plant,"San Juan, New Mexico",16,CO2,1955.27
PV Recycling Plant,"San Juan, New Mexico",17,CO2,3511.68
PV Recycling Plant,"San Juan, New Mexico",18,CO2,398.87
PV Recycling Plant,"San Juan, New Mexico",19,CO2,6468.57
PV Recycling Plant,"San Juan, New Mexico",20,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",21,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",22,CO2,2773.79
PV Recycling Plant,"San Juan, New Mexico",23,CO2,1168.13
PV Recycling Plant,"San Juan, New Mexico",24,CO2,1321.15
PV Recycling Plant,"San Juan, New Mexico",25,CO2,2168.21
PV Recycling Plant,"San Juan, New Mexico",26,CO2,1742.33
PV Recycling Plant,"Dan River, North Carolina",1,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",2,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",3,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",4,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",5,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",6,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",7,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",8,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",9,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",10,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",11,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",12,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",13,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",14,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",15,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",16,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",17,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",18,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",19,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",20,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",21,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",22,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",23,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",24,CO2,0.0
PV Recycling Plant,"Dan River, North Carolina",25,CO2,128.12
PV Recycling Plant,"Dan River, North Carolina",26,CO2,819.18
PV Recycling Plant,"St Johns River Power Park, Florida",1,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",2,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",3,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",4,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",5,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",6,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",7,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",8,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",9,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",10,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",11,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",12,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",13,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",14,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",15,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",16,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",17,CO2,128.23
PV Recycling Plant,"St Johns River Power Park, Florida",18,CO2,649.77
PV Recycling Plant,"St Johns River Power Park, Florida",19,CO2,1955.27
PV Recycling Plant,"St Johns River Power Park, Florida",20,CO2,1955.27
PV Recycling Plant,"St Johns River Power Park, Florida",21,CO2,1955.27
PV Recycling Plant,"St Johns River Power Park, Florida",22,CO2,1955.27
PV Recycling Plant,"St Johns River Power Park, Florida",23,CO2,2156.06
PV Recycling Plant,"St Johns River Power Park, Florida",24,CO2,1754.48
PV Recycling Plant,"St Johns River Power Park, Florida",25,CO2,1955.27
PV Recycling Plant,"St Johns River Power Park, Florida",26,CO2,1955.27
PV Recycling Plant,"Lansing Smith, Florida",1,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",2,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",3,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",4,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",5,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",6,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",7,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",8,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",9,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",10,CO2,0.0
