0,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,longitude,latitude,FIPS,45,total waste
WasteEOL_tellurium_95-by-35_Elec.Adv_DR_CdTe_p1_[Tonnes],0.0,7.678506292908373e-14,1.4444051673482591e-11,7.852270343760533e-10,1.0488027143031821e-08,6.743095625482224e-08,2.8414645835576737e-07,9.157333121412256e-07,2.4623704718119527e-06,5.820347588752161e-06,1.2497684536608088e-05,2.4911243749993984e-05,4.678414095136112e-05,8.366311383062016e-05,0.000143563922176,0.0002377352373598,0.0003815121350608,0.0005952047707532,0.0009049377434725,0.001343336953811,0.0019499647763257,0.0027714187982612,0.0038610334014027,0.0052781817472967,0.0070872929428322,0.0094456996377914,0.0204142302200426,0.0220989875369829,0.0390916480465655,0.0917650559434105,0.0531138005118446,0.0753817306836938,0.0649153583650916,0.0274279615299756,0.0377518252484023,0.051287839963997,0.0688178715186117,0.0912766097750771,0.1197828124903749,0.1556611463382674,0.2004229144350852,-121.4522522,47.82099062,53061,53,1.1533870921735971
WasteEOL_tellurium_95-by-35_Elec.Adv_DR_CdTe_p10_[Tonnes],0.0,2.414777309909492e-09,2.2984550784310334e-07,3.160225343182955e-06,1.955569092701113e-05,7.877605613240366e-05,0.0002433202994038,0.0006289436727336,0.0014337644520228,0.002979971115962,0.0057709836193383,0.010565954788875,0.01847228860885,0.0310551779851965,0.0504602226556888,0.0795410454906363,0.1219784699881604,0.182371075229134,0.2662692914955267,0.3801181970993701,0.5310707872514617,0.7266381109439713,0.9741603726812216,1.2801166973115043,1.6493355742107825,4.877607807067931,2.614712403521108,3.0673333184265448,10.21530284227231,26.08419925467016,7.098410003886963,10.05213748083884,4.106121762791861,0.9107275799980308,1.1513857509880612,1.4268406611934716,1.7333449132989427,2.065638336832395,2.418805074617511,2.7909862238942664,3.186019922587319,-117.1590386,35.12010447,06071,06,90.11288531001821
WasteEOL_tellurium_95-by-35_Elec.Adv_DR_CdTe_p100_[Tonnes],0.0,0.0,0.0,0.0,1.911895442569044e-14,3.069765777152835e-12,6.525743181440381e-11,6.02780903337859e-10,3.3858999834559916e-09,1.3765883788852032e-08,4.5514667046485986e-08,1.3197533914512536e-07,3.488220531206335e-07,8.529137105933266e-07,1.9401488406056552e-06,4.124363049139309e-06,8.238968718560322e-06,1.5562767359324277e-05,2.797086420705321e-05,4.8110441963668495e-05,7.959864180730853e-05,0.0001272350861203,0.0001972135797578,0.0002973050421063,0.0004369656784937,0.0006273004734773,0.0008807838528739,0.0012106121044999,0.0023940092130764,0.0045366053746868,0.0032422389798072,0.0042985983227043,0.0230267153225469,0.0027311358984012,0.0033825303899945,0.0041053627053874,0.0048890466435771,0.0057297653838852,0.0066442458743745,0.0076885111847861,0.008978546916485,-78.25771359,38.79110825,51187,51,0.08561167127166835
WasteEOL_tellurium_95-by-35_Elec.Adv_DR_CdTe_p101_[Tonnes],0.0,1.1828061428964188e-10,1.1268618528286653e-08,1.5578512225658725e-07,9.721472992979798e-07,3.951261318408635e-06,1.22904989734048e-05,3.184745465664972e-05,7.231068403459531e-05,0.0001486585817315,0.0002830445360269,0.000507336730679,0.0008667127705743,0.0014248868437712,0.0022713141224487,0.0035303393025712,0.0053719737875701,0.0080237135500038,0.0117825586373162,0.0170262660555034,0.0242230191023207,0.0339393169094936,0.0468471704234365,0.0637336587669726,0.085518022278021,0.2501087454063286,0.1617696706167638,0.1978728274674421,0.2646574342338353,0.4528450900349669,0.7002326701436393,0.9684833966170866,1.495732669784562,0.5048294020238884,0.6346707351051399,0.7806997038338677,0.9391291153494096,1.1047049550284482,1.2717131519852154,1.4356443419120388,1.5951134062264636,-82.19247661,28.70869529,12119,12,13.06382684738584
WasteEOL_tellurium_95-by-35_Elec.Adv_DR_CdTe_p102_[Tonnes],0.0,8.169479018813723e-11,7.76629769415273e-09,1.0598819987553624e-07,6.482451826239542e-07,2.5765047742533856e-06,7.841394578282586e-06,1.9913317478895543e-05,4.438148989380268e-05,8.964095646083591e-05,0.0001676830488636,0.0002950514286151,0.0004940657998686,0.0007943997675613,0.0012349882425639,0.001866102162164,0.0027513207773447,0.0039691201538824,0.0056139711262513,0.0077971758834574,0.0106481582556697,0.014317704799855,0.0189859051408119,0.0248792898514941,0.0323035753545916,0.13620373345419,0.0436062270850546,0.0579565919305792,0.0878904256925016,0.1529214776322745,0.1561042449993433,0.2190947055074103,0.7440458146259368,0.2979278511869703,0.4082096681608662,0.5510194308063651,0.7331962432070167,0.9623003253330994,1.246469311194365,1.5940130193954565,2.012458231390713,-80.56373053,26.67709172,12099,12,9.529700929139697
WasteEOL_tellurium_95-by-35_Elec.Adv_DR_CdTe_p103_[Tonnes],0.0,0.0,0.0,0.0,5.019600453208625e-13,8.059539943008275e-11,1.7132950098137954e-09,1.5823976678328762e-08,8.88508723243554e-08,3.596644368095264e-07,1.1651222073714115e-06,3.226989192201443e-06,7.966052318049244e-06,1.798893865666146e-05,3.778022018790759e-05,7.462136900699732e-05,0.0001397608189662,0.00024990845985,0.0004292516091291,0.0007123348440182,0.001148242136637,0.0018065549505828,0.0027855377744858,0.004222919043601,0.0063094882467264,0.0093055295558174,0.0135598959644141,0.0195313777412271,0.0478826977347101,0.101861330738733,0.066384733287892,0.0953019276740607,0.2260885058150554,0.1078624993125424,0.1518232501335393,0.2103051385048798,0.2868619160001229,0.3854967023112547,0.5105269534587796,0.6662822389055169,0.8565238325842468,-84.55437763,43.57419001,26111,26,3.773545742432036
WasteEOL_tellurium_95-by-35_Elec.Adv_DR_CdTe_p104_[Tonnes],0.0,0.0,0.0,0.0,3.863045528108384e-14,6.202559352218428e-12,1.3201644522970476e-10,1.243637505359454e-09,7.350074961549969e-09,3.196050310631696e-08,1.113043264991233e-07,3.268458286988136e-07,8.38861178572193e-07,1.932494127211801e-06,4.077331199911551e-06,8.001147714199627e-06,1.4777998194982744e-05,2.5929998327381136e-05,4.354063686576032e-05,7.037479593923676e-05,0.0001099961623942,0.0001668654686548,0.0002463921065417,0.000354896701575,0.000499424172504,0.0006873294428303,0.0009255501129865,0.0012194983860695,0.0031161939422975,0.0068054495858362,0.0098509920363698,0.0140248356501613,0.0022695816024696,0.0006191084412793,0.0009338604198452,0.0014420743698318,0.0022744609762464,0.0036447816051335,0.0058948159018157,0.0095586933935147,0.0154526158652845,-85.90993949,42.06225929,26027,26,0.08026736844981716
WasteEOL_tellurium_95-by-35_Elec.Adv_DR_CdTe_p105_[Tonnes],0.0,0.0,6.7581391139894906e-12,6.485325082789693e-10,9.344437062723204e-09,6.148009188341299e-08,2.6151886895327904e-07,8.458728184813699e-07,2.275613397124612e-06,5.372862803745139e-06,1.1519011114188111e-05,2.293647509297899e-05,4.307884809801936e-05,7.715362197512727e-05,0.0001327888644866,0.0002208381861428,0.0003563007709065,0.0005593100814567,0.0008561134224151,0.0012799248183489,0.0018714886668539,0.0026791490464245,0.0037581935369051,0.0051692500376112,0.0069755757311219,0.0092391826686741,0.0198336312616428,0.0215351295662136,0.0342325277155753,0.0766659962971351,0.0599299946050982,0.0840092105345608,0.0829763802388387,0.0170925079159372,0.0212132387653174,0.0257118004829474,0.0304063059715924,0.0350639864943126,0.0394415458573095,0.0433472970382586,0.046708144070473,-86.25965362,40.72939342,18017,18,0.6714293279505481
WasteEOL_tellurium_95-by-35_Elec.Adv_DR_CdTe_p106_[Tonnes],0.0,0.0,1.8021704303971976e-12,1.7294200220772514e-10,2.495727891929268e-09,1.7017349585449567e-08,8.29710816846662e-08,3.472234815701959e-07,1.281452678941818e-06,4.1078338623087605e-06,1.1475937398425365e-05,2.8421809527560377e-05,6.36338772363956e-05,0.000131044108982,0.0002517528510496,0.0004562798547186,0.0007871197191561,0.0013016156489533,0.0020752865148997,0.0032058586508513,0.0048182496097026,0.0070706057466792,0.0101612234049877,0.0143358135883442,0.0198941830314498,0.0271951801808239,0.0387437694182459,0.0504170792749625,0.2231173191870236,0.5817497166978267,0.0574349539753714,0.0866437533850854,0.0977357480782641,0.1263873762538484,0.1842790225868845,0.2634287300848681,0.3695870892213365,0.5092454978856621,0.6893161017726647,0.9165101272400016,1.1962910755085276,-86.10103966,39.94240296,18057,18,5.48268094427426
