plant type,location name,year,emission type,emission amount (tonne)
PV Recycling Plant,"Glen Lyn, Virginia",1,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",2,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",3,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",4,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",5,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",6,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",7,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",8,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",9,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",10,CO2,3.76252
PV Recycling Plant,"Glen Lyn, Virginia",11,CO2,5.184416
PV Recycling Plant,"Glen Lyn, Virginia",12,CO2,7.002718
PV Recycling Plant,"Glen Lyn, Virginia",13,CO2,46.784234
PV Recycling Plant,"Glen Lyn, Virginia",14,CO2,9.226781
PV Recycling Plant,"Glen Lyn, Virginia",15,CO2,12.017315
PV Recycling Plant,"Glen Lyn, Virginia",16,CO2,1955.272758
PV Recycling Plant,"Glen Lyn, Virginia",17,CO2,1955.272758
PV Recycling Plant,"Glen Lyn, Virginia",18,CO2,1955.272758
PV Recycling Plant,"Glen Lyn, Virginia",19,CO2,1955.272758
PV Recycling Plant,"Glen Lyn, Virginia",20,CO2,1955.272758
PV Recycling Plant,"Glen Lyn, Virginia",21,CO2,1955.272758
PV Recycling Plant,"Glen Lyn, Virginia",22,CO2,1955.272758
PV Recycling Plant,"Glen Lyn, Virginia",23,CO2,1955.272758
PV Recycling Plant,"Glen Lyn, Virginia",24,CO2,1955.272758
PV Recycling Plant,"Glen Lyn, Virginia",25,CO2,1955.272758
PV Recycling Plant,"Glen Lyn, Virginia",26,CO2,1955.272758
PV Recycling Plant,"H B Robinson, South Carolina",1,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",2,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",3,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",4,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",5,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",6,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",7,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",8,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",9,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",10,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",11,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",12,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",13,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",14,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",15,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",16,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",17,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",18,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",19,CO2,8127.514394
PV Recycling Plant,"H B Robinson, South Carolina",20,CO2,1392.426139
PV Recycling Plant,"H B Robinson, South Carolina",21,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",22,CO2,28.593115
PV Recycling Plant,"H B Robinson, South Carolina",23,CO2,227.83014
PV Recycling Plant,"H B Robinson, South Carolina",24,CO2,1955.272758
PV Recycling Plant,"H B Robinson, South Carolina",25,CO2,1955.272758
PV Recycling Plant,"H B Robinson, South Carolina",26,CO2,1955.272758
PV Recycling Plant,"San Juan, New Mexico",1,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",2,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",3,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",4,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",5,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",6,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",7,CO2,3801.981132
PV Recycling Plant,"San Juan, New Mexico",8,CO2,2763.601251
PV Recycling Plant,"San Juan, New Mexico",9,CO2,46.427235
PV Recycling Plant,"San Juan, New Mexico",10,CO2,1209.081413
PV Recycling Plant,"San Juan, New Mexico",11,CO2,3554.213712
PV Recycling Plant,"San Juan, New Mexico",12,CO2,356.331803
PV Recycling Plant,"San Juan, New Mexico",13,CO2,5621.426433
PV Recycling Plant,"San Juan, New Mexico",14,CO2,100.069036
PV Recycling Plant,"San Juan, New Mexico",15,CO2,144.322803
PV Recycling Plant,"San Juan, New Mexico",16,CO2,1955.272758
PV Recycling Plant,"San Juan, New Mexico",17,CO2,1955.272758
PV Recycling Plant,"San Juan, New Mexico",18,CO2,1955.272758
PV Recycling Plant,"San Juan, New Mexico",19,CO2,1955.272758
PV Recycling Plant,"San Juan, New Mexico",20,CO2,1955.272758
PV Recycling Plant,"San Juan, New Mexico",21,CO2,1955.272758
PV Recycling Plant,"San Juan, New Mexico",22,CO2,2172.423877
PV Recycling Plant,"San Juan, New Mexico",23,CO2,1738.121639
PV Recycling Plant,"San Juan, New Mexico",24,CO2,1955.272758
PV Recycling Plant,"San Juan, New Mexico",25,CO2,1955.272758
PV Recycling Plant,"San Juan, New Mexico",26,CO2,1955.272758
PV Recycling Plant,"St Johns River Power Park, Florida",1,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",2,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",3,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",4,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",5,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",6,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",7,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",8,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",9,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",10,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",11,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",12,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",13,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",14,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",15,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",16,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",17,CO2,128.232172
PV Recycling Plant,"St Johns River Power Park, Florida",18,CO2,649.773308
PV Recycling Plant,"St Johns River Power Park, Florida",19,CO2,2472.895626
PV Recycling Plant,"St Johns River Power Park, Florida",20,CO2,1592.274505
PV Recycling Plant,"St Johns River Power Park, Florida",21,CO2,1800.648142
PV Recycling Plant,"St Johns River Power Park, Florida",22,CO2,4114.330225
PV Recycling Plant,"St Johns River Power Park, Florida",23,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",24,CO2,1751.488048
PV Recycling Plant,"St Johns River Power Park, Florida",25,CO2,1955.272758
PV Recycling Plant,"St Johns River Power Park, Florida",26,CO2,1955.272758
PV Recycling Plant,"Lansing Smith, Florida",1,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",2,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",3,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",4,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",5,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",6,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",7,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",8,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",9,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",10,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",11,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",12,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",13,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",14,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",15,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",16,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",17,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",18,CO2,0.0
PV Recycling Plant,"Lansing Smith, Florida",19,CO2,665.077388
PV Recycling Plant,"Lansing Smith, Florida",20,CO2,918.879909
PV Recycling Plant,"Lansing Smith, Florida",21,CO2,1243.083043
PV Recycling Plant,"Lansing Smith, Florida",22,CO2,2339.946851
PV Recycling Plant,"Lansing Smith, Florida",23,CO2,2189.502363
PV Recycling Plant,"Lansing Smith, Florida",24,CO2,1336.369059
PV Recycling Plant,"Lansing Smith, Florida",25,CO2,1955.272758
PV Recycling Plant,"Lansing Smith, Florida",26,CO2,1955.272758
PV Recycling Plant,"Indiantown Cogeneration LP, Florida",1,CO2,0.0
PV Recycling Plant,"Indiantown Cogeneration LP, Florida",2,CO2,0.0
PV Recycling Plant,"Indiantown Cogeneration LP, Florida",3,CO2,0.0
PV Recycling Plant,"Indiantown Cogeneration LP, Florida",4,CO2,0.0
PV Recycling Plant,"Indiantown Cogeneration LP, Florida",5,CO2,0.0
PV Recycling Plant,"Indiantown Cogeneration LP, Florida",6,CO2,0.0
