plant type,location name,year,emission type,emission amount (tonne)
PV Recycling Plant,"Helen Of Troy L. P., TX",1,CO2,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",2,CO2,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",3,CO2,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",4,CO2,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",5,CO2,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",6,CO2,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",7,CO2,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",8,CO2,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",9,CO2,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",10,CO2,15.842119
PV Recycling Plant,"Helen Of Troy L. P., TX",11,CO2,17.619709
PV Recycling Plant,"Helen Of Troy L. P., TX",12,CO2,12.997328
PV Recycling Plant,"Helen Of Troy L. P., TX",13,CO2,8388.953282
PV Recycling Plant,"Helen Of Troy L. P., TX",14,CO2,1370.447882
PV Recycling Plant,"Helen Of Troy L. P., TX",15,CO2,1972.235382
PV Recycling Plant,"Helen Of Troy L. P., TX",16,CO2,8349.388613
PV Recycling Plant,"Helen Of Troy L. P., TX",17,CO2,1545.798834
PV Recycling Plant,"Helen Of Troy L. P., TX",18,CO2,1836.449099
PV Recycling Plant,"Helen Of Troy L. P., TX",19,CO2,5951.021218
PV Recycling Plant,"Helen Of Troy L. P., TX",20,CO2,4822.372762
PV Recycling Plant,"Helen Of Troy L. P., TX",21,CO2,1088.252844
PV Recycling Plant,"Helen Of Troy L. P., TX",22,CO2,6768.781048
PV Recycling Plant,"Helen Of Troy L. P., TX",23,CO2,922.299705
PV Recycling Plant,"Helen Of Troy L. P., TX",24,CO2,3910.545515
PV Recycling Plant,"Helen Of Troy L. P., TX",25,CO2,3910.545515
PV Recycling Plant,"Helen Of Troy L. P., TX",26,CO2,3910.545515
PV Recycling Plant,"Kuykendall Cement Corp., AR",1,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",2,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",3,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",4,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",5,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",6,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",7,CO2,0.0
